Fold,Model,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Train Avg Precision,Valid Accuracy,Valid Precision,Valid Recall,Valid F1 Score,Valid ROC AUC,Valid Avg Precision,Training Runtime,Prediction Runtime
0,Logistic Regression,0.9128442322448631,0.7810804946843133,0.5389221556886228,0.6377889981397821,0.9042938466937286,0.71648663687135,0.9095404552817802,0.7627264883520276,0.5293413173652695,0.6249558147755391,0.8930321284064737,0.7005754791321716,0.22,0.04
0,Linear Discriminant Analysis,0.9041478386904255,0.6900574612571827,0.5932634730538923,0.6380101424776624,0.8924458903546917,0.6683352429533846,0.8987978514792395,0.6675919500346982,0.5760479041916168,0.6184506589521054,0.8812480615863412,0.6537181812290668,0.21,0.03
0,Bernoulli Bayes,0.8776323642254241,0.5834963542592921,0.4911676646706587,0.5333658457286841,0.8655470132654465,0.581858874188057,0.8722823770142382,0.5600558659217877,0.4802395209580838,0.5170857511283043,0.8545339383862754,0.5668285134572361,0.05,0.1
0,Gaussian Bayes,0.8915508568505414,0.649343339587242,0.5181137724550898,0.576353039134055,0.8895949266096497,0.5780281150709607,0.8877142126353483,0.6310319227913883,0.5089820359281437,0.563473649320517,0.875306738149112,0.5487500024660759,0.05,0.12
1,Logistic Regression,0.9124179384431751,0.7789108266435235,0.5374251497005988,0.6360173620338383,0.9020807698649823,0.7133938052818858,0.913888652058999,0.7849740932642487,0.5443113772455089,0.6428571428571429,0.9013597618363036,0.7127780998919026,0.19,0.03
1,Linear Discriminant Analysis,0.9036576008184841,0.6867219917012448,0.5946107784431137,0.6373555840821566,0.8902311727573782,0.6658332961199644,0.9040838946201722,0.6898954703832753,0.592814371257485,0.6376811594202898,0.8883299312499369,0.6638849213723844,0.18,0.03
1,Bernoulli Bayes,0.876417426890613,0.5781914893617022,0.48817365269461077,0.5293831168831169,0.8632815881062212,0.5788839427251083,0.8765453150311194,0.5803183791606368,0.4802395209580838,0.5255570117955439,0.8621586829323756,0.5747072012499349,0.03,0.09000000000000001
1,Gaussian Bayes,0.8906769545570807,0.6454698930782217,0.515119760479042,0.5729747731246357,0.8875132117215019,0.5719372363836803,0.8929149970159433,0.6577743902439024,0.5167664670658683,0.5788061703554661,0.8918989340138689,0.5865707303281099,0.05,0.11
2,Logistic Regression,0.9117784977406429,0.7770992366412214,0.5333832335329342,0.6325787838437639,0.902599580141834,0.7113501127287523,0.9122687356125841,0.7879604672057502,0.5251497005988024,0.6302551203736975,0.9004905786399167,0.7207914839938052,0.22,0.03
2,Linear Discriminant Analysis,0.9034231392275557,0.6874236874236874,0.5899700598802395,0.6349794570208652,0.8910630052153373,0.6648270263291786,0.9049364822235485,0.6947368421052632,0.592814371257485,0.6397415185783522,0.8881352118310352,0.674864125353608,0.18,0.08
2,Bernoulli Bayes,0.8749893426549578,0.5708079930495221,0.49176646706586824,0.5283474065138721,0.8629563103884685,0.5755118445265341,0.878932560320573,0.589541547277937,0.492814371257485,0.5368558382257013,0.864138409729899,0.5860038563802834,0.1,0.16
2,Gaussian Bayes,0.8902506607553926,0.6431643912474284,0.5148203592814371,0.5718799368088467,0.8875963477161394,0.5699670036290826,0.8941938784210077,0.6648731744811683,0.5179640718562875,0.582295523392797,0.8895617652258858,0.5890445437055711,0.06,0.16
3,Logistic Regression,0.9111816864182795,0.7757296466973886,0.5291916167664671,0.6291714870517042,0.9004939569117059,0.7087271054565355,0.9148264984227129,0.7940403155127082,0.5425149700598803,0.6446104589114194,0.9102765539603762,0.7280272729100593,0.32,0.05
3,Linear Discriminant Analysis,0.9017392787108875,0.6805652477320308,0.5839820359281437,0.6285852400902353,0.8880333427984473,0.6616617345877793,0.9079205388353654,0.7074542897327707,0.6023952095808384,0.6507115135834411,0.9004480749208414,0.6781506171830685,0.75,0.04
3,Bernoulli Bayes,0.8746056782334385,0.5691000520201145,0.49131736526946107,0.5273559893950349,0.8609454164292948,0.5730999963524355,0.8777389376758462,0.5821727019498607,0.5005988023952096,0.5383129426915647,0.866727416029855,0.5861568572088991,0.06,0.14
3,Gaussian Bayes,0.8904211782760678,0.6435902220563537,0.516317365269461,0.5729711770080571,0.886980116340537,0.5706799127758628,0.8920624094125671,0.6511976047904192,0.5209580838323353,0.5788423153692615,0.8907109729244166,0.576730018675468,0.08,0.13
4,Logistic Regression,0.9131426379060449,0.7818653971001948,0.540868263473054,0.6394124413768693,0.9018944291554083,0.7156373026641121,0.9103077841248188,0.7614213197969543,0.5389221556886228,0.6311360448807855,0.9041247061498833,0.6993392111966259,0.23,0.03
4,Linear Discriminant Analysis,0.9041052093102566,0.6894874022589053,0.5940119760479042,0.6381986328910334,0.8898192654357255,0.6675063296848561,0.9001619916446415,0.67053998632946,0.5874251497005988,0.6262368337057134,0.8920290644479012,0.6554168034536093,0.18,0.03
4,Bernoulli Bayes,0.8763961122005286,0.578006020896051,0.48862275449101794,0.5295692382574836,0.8622963940148335,0.5783197329444298,0.874158069741666,0.5663474692202463,0.49580838323353293,0.5287356321839081,0.8659752668834713,0.5735005520270673,0.04,0.08
4,Gaussian Bayes,0.8918705772018075,0.6508353669983105,0.5190119760479042,0.5774964603981011,0.8874593305188013,0.5749293568971676,0.887543695114673,0.627822286962855,0.5161676646706587,0.5665461715412422,0.8898560469279158,0.5646795769666596,0.04,0.09000000000000001
